1.88E+00,2.84E+00,1.91E+00,1.13E+00,8.00E-01,5.56E-01
5.63E+00,2.87E+00,1.92E+00,1.11E+00,7.65E-01,5.06E-01
9.38E+00,2.84E+00,1.89E+00,1.07E+00,7.25E-01,4.62E-01
1.31E+01,2.83E+00,1.86E+00,1.04E+00,6.97E-01,4.33E-01
1.69E+01,2.78E+00,1.84E+00,1.03E+00,6.87E-01,4.24E-01
2.06E+01,2.79E+00,1.83E+00,1.03E+00,6.89E-01,4.31E-01
2.44E+01,2.80E+00,1.84E+00,1.04E+00,7.08E-01,4.54E-01
2.81E+01,2.79E+00,1.85E+00,1.06E+00,7.40E-01,4.88E-01
3.19E+01,2.73E+00,1.82E+00,1.05E+00,7.49E-01,5.08E-01
3.56E+01,2.78E+00,1.85E+00,1.08E+00,7.76E-01,5.36E-01
3.94E+01,2.88E+00,1.95E+00,1.16E+00,8.49E-01,6.01E-01
4.31E+01,2.98E+00,2.05E+00,1.25E+00,9.41E-01,6.82E-01
4.69E+01,3.11E+00,2.16E+00,1.35E+00,1.04E+00,7.70E-01
5.06E+01,3.31E+00,2.32E+00,1.45E+00,1.13E+00,8.54E-01
5.44E+01,3.50E+00,2.45E+00,1.54E+00,1.22E+00,9.40E-01
5.81E+01,3.69E+00,2.61E+00,1.68E+00,1.35E+00,1.05E+00
6.19E+01,3.95E+00,2.85E+00,1.87E+00,1.51E+00,1.19E+00
6.56E+01,4.24E+00,3.09E+00,2.05E+00,1.68E+00,1.34E+00
6.94E+01,4.53E+00,3.36E+00,2.28E+00,1.88E+00,1.52E+00
7.31E+01,4.68E+00,3.47E+00,2.39E+00,2.00E+00,1.64E+00
7.69E+01,4.37E+00,3.28E+00,2.31E+00,1.97E+00,1.64E+00
8.06E+01,4.46E+00,3.39E+00,2.43E+00,2.10E+00,1.78E+00
8.44E+01,4.67E+00,3.55E+00,2.59E+00,2.25E+00,1.93E+00
8.81E+01,4.93E+00,3.71E+00,2.69E+00,2.35E+00,2.05E+00
9.19E+01,5.33E+00,3.96E+00,2.87E+00,2.52E+00,2.22E+00
9.56E+01,5.85E+00,4.36E+00,3.19E+00,2.84E+00,2.58E+00
9.94E+01,6.55E+00,4.88E+00,3.59E+00,3.23E+00,3.04E+00
1.03E+02,8.13E+00,5.89E+00,4.25E+00,3.84E+00,3.72E+00
1.07E+02,1.03E+01,7.71E+00,5.57E+00,5.05E+00,5.08E+00
