1.88E+00,1.23E-02,1.24E-02,1.09E-02,8.47E-03,9.51E-03
5.63E+00,1.21E-02,1.22E-02,1.10E-02,8.80E-03,8.95E-03
9.38E+00,1.12E-02,1.11E-02,9.48E-03,7.02E-03,5.93E-03
1.31E+01,1.00E-02,9.63E-03,7.81E-03,5.49E-03,3.89E-03
1.69E+01,8.69E-03,8.06E-03,6.24E-03,4.32E-03,2.81E-03
2.06E+01,7.41E-03,6.66E-03,4.93E-03,3.44E-03,2.22E-03
2.44E+01,6.23E-03,5.46E-03,3.91E-03,2.81E-03,1.93E-03
2.81E+01,5.15E-03,4.43E-03,3.15E-03,2.36E-03,1.71E-03
3.19E+01,4.26E-03,3.59E-03,2.47E-03,1.82E-03,1.36E-03
3.56E+01,3.56E-03,2.95E-03,2.01E-03,1.50E-03,1.11E-03
3.94E+01,3.01E-03,2.49E-03,1.73E-03,1.33E-03,9.90E-04
4.31E+01,2.56E-03,2.12E-03,1.50E-03,1.19E-03,8.87E-04
4.69E+01,2.15E-03,1.77E-03,1.26E-03,1.01E-03,7.58E-04
5.06E+01,1.82E-03,1.50E-03,1.07E-03,8.55E-04,6.46E-04
5.44E+01,1.56E-03,1.28E-03,9.15E-04,7.31E-04,5.56E-04
5.81E+01,1.34E-03,1.10E-03,7.87E-04,6.29E-04,4.79E-04
6.19E+01,1.17E-03,9.54E-04,6.90E-04,5.53E-04,4.22E-04
6.56E+01,1.02E-03,8.31E-04,6.04E-04,4.84E-04,3.70E-04
6.94E+01,9.05E-04,7.39E-04,5.37E-04,4.32E-04,3.30E-04
7.31E+01,8.09E-04,6.57E-04,4.77E-04,3.81E-04,2.91E-04
7.69E+01,7.30E-04,5.89E-04,4.24E-04,3.37E-04,2.56E-04
8.06E+01,6.63E-04,5.34E-04,3.85E-04,3.06E-04,2.32E-04
8.44E+01,6.08E-04,4.87E-04,3.49E-04,2.77E-04,2.10E-04
8.81E+01,5.63E-04,4.50E-04,3.22E-04,2.56E-04,1.92E-04
9.19E+01,5.24E-04,4.19E-04,3.00E-04,2.37E-04,1.78E-04
9.56E+01,4.91E-04,3.91E-04,2.79E-04,2.20E-04,1.64E-04
9.94E+01,4.68E-04,3.71E-04,2.64E-04,2.07E-04,1.53E-04
1.03E+02,4.45E-04,3.52E-04,2.49E-04,1.95E-04,1.44E-04
1.07E+02,4.22E-04,3.33E-04,2.35E-04,1.84E-04,1.35E-04
1.11E+02,8.32E-04,6.66E-04,4.57E-04,3.28E-04,2.06E-04
1.14E+02,6.84E-04,5.46E-04,3.77E-04,2.74E-04,1.75E-04
1.18E+02,5.67E-04,4.52E-04,3.14E-04,2.31E-04,1.51E-04
1.22E+02,4.57E-04,3.66E-04,2.58E-04,1.93E-04,1.28E-04
1.26E+02,4.01E-04,3.20E-04,2.27E-04,1.71E-04,1.12E-04
1.29E+02,3.82E-04,3.03E-04,2.13E-04,1.61E-04,1.04E-04
1.33E+02,3.66E-04,2.89E-04,2.02E-04,1.53E-04,9.54E-05
1.37E+02,3.52E-04,2.76E-04,1.92E-04,1.44E-04,8.86E-05
1.41E+02,3.80E-04,2.97E-04,2.07E-04,1.56E-04,9.55E-05
1.44E+02,4.13E-04,3.24E-04,2.25E-04,1.70E-04,1.04E-04
1.48E+02,3.04E-04,2.37E-04,1.64E-04,1.23E-04,7.48E-05
1.52E+02,2.96E-04,2.30E-04,1.59E-04,1.19E-04,7.22E-05
1.56E+02,2.85E-04,2.21E-04,1.53E-04,1.15E-04,6.94E-05
1.59E+02,2.83E-04,2.19E-04,1.51E-04,1.13E-04,6.82E-05
1.63E+02,2.75E-04,2.12E-04,1.47E-04,1.10E-04,6.60E-05
1.67E+02,2.67E-04,2.05E-04,1.42E-04,1.07E-04,6.43E-05
1.71E+02,2.69E-04,2.06E-04,1.42E-04,1.07E-04,6.39E-05
1.74E+02,2.61E-04,2.01E-04,1.38E-04,1.04E-04,6.20E-05
1.78E+02,2.71E-04,2.06E-04,1.41E-04,1.06E-04,6.26E-05
